vertical_transect,quadrat,square,species,n,abiotic_hab
1,1,1,B. glandula,9,cobble
1,1,1,C. dalli,2,cobble
1,1,2,NA,NA,sand
1,1,3,B. glandula,2,cobble
1,1,4,NA,NA,sand
1,1,5,B. glandula,5,cobble
1,1,5,C. dalli,10,cobble
1,1,6,NA,NA,sand
1,1,7,B. glandula,4,cobble
1,1,8,NA,NA,cobble
1,1,9,NA,NA,sand
1,1,10,B. glandula,40,cobble
1,1,10,C. dalli,10,cobble
1,1,10,Littorina spp.,5,cobble
1,2,1,NA,NA,cobble
1,2,2,NA,NA,sand
1,2,3,NA,NA,sand
1,2,4,NA,NA,sand
1,2,5,NA,NA,cobble
1,2,6,NA,NA,sand
1,2,7,NA,NA,sand
1,2,8,B. glandula,1,cobble
1,2,9,B. glandula,8,cobble
1,2,9,C. dalli,4,cobble
1,2,10,B. glandula,5,cobble
3,3,1,B. glandula,27,cobble
3,3,1,C. dalli,32,cobble
3,3,1,Littorina spp.,16,cobble
3,3,1,Littorina spp.,1,cobble
3,3,2,B. glandula,35,cobble
3,3,2,Littorina spp.,12,cobble
3,3,3,B. glandula,13,cobble
3,3,3,Littorina spp.,35,cobble
3,3,4,B. glandula,13,cobble
3,3,4,Littorina spp.,26,cobble
3,3,5,B. glandula,28,cobble
3,3,5,Littorina spp.,13,cobble
3,3,6,F. distichus,NA,cobble
3,3,6,B. glandula,22,cobble
3,3,6,Littorina spp.,10,cobble
3,3,7,B. glandula,42,cobble
3,3,7,Littorina spp.,53,cobble
3,3,8,B. glandula,2,cobble
3,3,9,B. glandula,11,pebbles
3,3,9,Littorina spp.,27,pebbles
3,3,10,B. glandula,27,cobble
3,3,10,Littorina spp.,5,cobble
5,1,1,Littorina spp.,3,boulder
5,1,2,Littorina spp.,20,cobble
5,1,3,NA,NA,cobble
5,1,4,Littorina spp.,20,cobble
5,1,5,NA,NA,pebbles
5,1,6,NA,NA,cobble
5,1,7,Littorina spp.,2,boulder
5,1,7,Littorina spp.,1,boulder
5,1,8,Littorina spp.,7,cobble
5,1,9,NA,NA,cobble
5,1,10,NA,NA,pebbles
5,2,1,Littorina spp.,30,cobble
5,2,2,NA,NA,pebbles
5,2,3,Littorina spp.,2,cobble
5,2,4,Littorina spp.,10,cobble
5,2,5,NA,NA,pebbles
5,2,6,Littorina spp.,20,boulder
5,2,7,NA,NA,pebbles
5,2,8,Littorina spp.,64,boulder
5,2,9,Littorina spp.,13,cobble
5,2,10,NA,NA,cobble
5,3,1,NA,NA,cobble
5,3,2,Littorina spp.,3,cobble
5,3,3,NA,NA,cobble
5,3,4,NA,NA,cobble
5,3,5,NA,NA,cobble
5,3,6,NA,NA,pebbles
5,3,7,NA,NA,pebbles
5,3,8,NA,NA,cobble
5,3,9,NA,NA,pebbles
5,3,10,NA,NA,cobble
5,4,1,NA,NA,pebbles
5,4,2,Littorina spp.,22,cobble
5,4,3,NA,NA,cobble
5,4,4,Littorina spp.,9,cobble
5,4,5,Littorina spp.,3,boulder
5,4,6,Littorina spp.,24,boulder
